id,severity,remediation_risk,remediation_risk_axis,persona,area,finding,evidence,proposed_action,disposition
PERF-01,Medium,Low,n/a,Engineer/Architect,Import startup,"get_packages() iterates ALL installed distributions on every import pubrun (full-environment mode). Large venvs add 50-200ms.","capture/packages.py:37-55 — importlib.metadata.distributions() fully iterated with locate_file and read_text per dist.",Change default to imported-only mode; full-environment becomes opt-in.,proposed
PERF-02,Medium,Low,n/a,Engineer/Power-user,Import startup,"get_hardware() spawns external subprocesses (nvidia-smi/sysctl/system_profiler/wmic) synchronously during import. GPU detection alone can take 200-500ms.","capture/hardware.py:78-145 — subprocess.check_output calls with no caching.",Defer hardware detection to a background thread; collect results at stop() time.,proposed
PERF-03,Medium,Low,n/a,Engineer,Import startup,"get_git() spawns 4 sequential git subprocess calls each with 1s timeout. On network-mounted or large repos git status --porcelain can be slow.","capture/git.py:31-65 — 4 sequential _run_git() calls.",Parallelize git calls or make dirty-check configurable.,proposed
PERF-04,Medium,Low,n/a,Engineer,Import startup,"get_invocation() hashes entire script file with SHA-256 on every import. Large scripts or notebooks block startup.","capture/invocation.py:67-73 — hashlib.sha256() over full file read.",Gate hashing behind size threshold (skip for files >= 1MB).,proposed
PERF-05,Low,Low,n/a,Engineer,Console hot-path,"TqdmSafeTee.write() calls datetime.now().strftime() on every line in timestamped mode. Per-line overhead in tight print loops.","capture/console.py:57-60 — inside inner loop over lines.",Format timestamp once per write() call rather than per line.,proposed
PERF-06,Low,Low,n/a,Engineer,Event stream,"EventStream.emit() does json.dumps + write + flush under lock for every event. Lock + flush is a serialization bottleneck for high-frequency resource samples.","events.py:62-77 — self._lock held during full serialize+write+flush.",Buffer events; flush every 100 events or 1s. Move json.dumps outside lock.,proposed
PERF-07,Medium,Low,n/a,Power-user/Architect,ProvenanceFileProxy,"_register_provenance() re-reads the ENTIRE file to compute SHA-256 on close even though data was already hashed incrementally during read. Redundant full I/O.","core.py:354-362 — opens file rb and hashes 64KB chunks duplicating self._hash.",Use self._hash.hexdigest() for read-mode; only re-hash for write-mode.,proposed
PERF-08,Low,Medium-High,Complexity,Engineer,ProvenanceFileProxy,"Every read/readline/__next__ call does isinstance check + conditional .encode() even for binary-mode files where data is already bytes.","core.py:297-302 — isinstance(data bytes) check on every I/O call.",Detect mode at construction; skip branch for known mode. Full class split deferred.,partial-proposed
PERF-09,Medium,Low,n/a,Power-user/Architect,pubrun status,"scan_runs() instantiates RunInfo for every directory doing synchronous JSON I/O for each. O(n) sequential parses with no caching or pagination.","status.py:284-296 — for entry in base.iterdir(): runs.append(RunInfo(entry)).",Add lightweight index file (.pubrun-index.json) for cached metadata.,proposed
PERF-10,Low,Low,n/a,Engineer,pubrun status,"RunInfo._load_from_lock() reads entire events.jsonl (potentially MB) just to count lines for status display.","status.py:223-227 — sum(1 for _ in f) on potentially large file.",Use file size estimate or maintain count in sidecar/lock file.,proposed
PERF-11,Low,Low,n/a,Architect,Startup I/O,"resolve_config() reads and deep-merges default.toml from package resources on every Run() creation. default.toml never changes at runtime.","config.py:95-131 — load_default_config() called fresh each time.",Cache load_default_config() result at module level.,proposed
PERF-12,Low,Low,n/a,Engineer,SubprocessSpy,"redact_argv() recompiles the secret regex via re.compile() on every subprocess spawn inside the patched Popen.__init__ (under lock).","capture/redaction.py:16-24 called from subprocesses.py:123.",Cache compiled regex at module level.,proposed
PERF-13,Low,Low,n/a,Engineer,Environment capture,"redact_env_vars() calls is_secret_key() per env var which calls _get_secret_pattern() recompiling regex each time — O(n) compilations.","capture/redaction.py:142-170 combined with :16-24.",Same fix as PERF-12: cache the compiled pattern.,proposed
PERF-14,Low,Low,n/a,Engineer,ResourceWatcher,"On Windows/macOS _poll_rss() spawns a subprocess (wmic/ps) on every sample interval (default 15s). Hundreds of process spawns over a long run for a single int.","capture/resources.py:14-30 (Windows) 43-52 (macOS).",Use os.getrusage (macOS) or ctypes GetProcessMemoryInfo (Windows).,proposed
