id,severity,remediation_risk,remediation_risk_axis,persona,area,finding,evidence,proposed_action,disposition
BUG-01,High,Low,n/a,Engineer/QA,ResourceWatcher macOS,"_get_rss_darwin() uses resource.getrusage(RUSAGE_SELF).ru_maxrss which returns PEAK RSS not current RSS. Metrics are incorrect on macOS.","capture/resources.py:46-52 — ru_maxrss is documented as maximum resident set size ever reached.",Use ctypes mach_task_info or ps -o rss= for current RSS; reserve ru_maxrss only for peak_rss_bytes field.,proposed
BUG-02,Medium,Low,n/a,Engineer,ResourceWatcher CPU,"_poll_cpu() formula double-counts children CPU time. Adds current children and subtracts previous children separately from user/system delta instead of computing (total_current - total_previous).","capture/resources.py:96-97 — formula computes user_delta + children_delta separately with partial subtraction.",Fix to: total_delta = (cur.user + cur.system + cur.children_user + cur.children_system) - (prev.user + prev.system + prev.children_user + prev.children_system).,proposed
BUG-03,Medium,Low,n/a,Engineer/QA,ProvenanceFileProxy,"Proxy only implements read methods (read/readline/readlines/__next__). write() calls go through __getattr__ delegation without hash tracking so write-mode provenance hash may be inaccurate.","core.py:427 ff — no write() or writelines() method on ProvenanceFileProxy.",Add write()/writelines() methods that update the incremental hash for write-mode files.,proposed
BUG-04,Medium,Low,n/a,Engineer,start() concurrency,"start() reads get_current_run() under lock but creates Run() outside the lock. Two concurrent threads can both see active=None and both create Run objects; second overwrites _active_run silently.","core.py:97-105 — lock released before Run() construction.",Hold _run_lock across Run() construction or use double-checked locking with re-check.,proposed
BUG-05,Low,Low,n/a,QA,EventStream,"If json.dumps(record) raises (non-serializable payload) the event is silently dropped with only a debug log. User gets no feedback that their annotation was lost.","events.py:82-104 — TypeError/ValueError from json.dumps caught by outer except.",Catch serialization errors specifically; log at warning level with event type info.,proposed
BUG-06,Medium,Low,n/a,Engineer/QA,hardware thread + manifest,"If hardware thread completes after startup manifest write but process is killed before stop() the on-disk manifest has stale capture_state:pending for hardware forever.","tracker.py:159-164 vs :274-280 — startup manifest written before hardware thread finishes.",Re-write manifest after hardware thread completes (supplement write).,proposed
BUG-07,Low,Low,n/a,QA,ResourceWatcher macOS end_rss,"end_rss_bytes calls _poll_rss() on macOS which returns ru_maxrss (peak) making end_rss always equal to peak_rss — the field is meaningless on macOS.","capture/resources.py:138-141 — same root cause as BUG-01.",Same fix as BUG-01: use current RSS API for polling; ru_maxrss only for peak.,proposed
BUG-08,Low,Low,n/a,Engineer,ProvenanceFileProxy write flush,"For write-mode files the proxy hashes from disk after close(). Relies on close() flushing buffers. Correct for standard Python files but undocumented assumption.","core.py:468-472 — close() then hash; no explicit flush before hash.",Document the assumption in docstring. No code change needed.,proposed
BUG-09,Low,Low,n/a,QA,SubprocessSpy state,"SubprocessSpy._records is class-level. Records from prior install cycle can leak into new manifest if install/uninstall lifecycle is not followed perfectly.","capture/subprocesses.py:41-43 — class-level mutable list.",Reset records in uninstall() to prevent cross-run leakage.,proposed
BUG-10,Low,Low,n/a,Engineer,event stream migration,"After migrate_directory() if reopen fails emit('warning') silently does nothing (self._file is None). The migration failure warning itself is lost.","tracker.py:381-385 — emit after migration may silently fail.",Check stream state before emit; fall back to logger.warning().,proposed
